Date,Time,Transaction,Item
2016-10-30,09:58:11,1,Value1
2016-10-30,10:05:34,2,Value2
2016-10-30,10:05:34,2,Value2
2016-10-30,10:07:57,3,Value3
2016-10-30,10:07:57,3,Value4
2016-10-30,10:07:57,3,Value5
2016-10-30,10:08:41,4,Value6
2016-10-30,10:13:03,5,Value7
2016-10-30,10:13:03,5,Value8
2016-10-30,10:13:03,5,Value1
2016-10-30,10:16:55,6,Value9
2016-10-30,10:16:55,6,Value8
2016-10-30,10:16:55,6,Value6
2016-10-30,10:19:12,7,Value9
2016-10-30,10:19:12,7,Value8
2016-10-30,10:19:12,7,Value7
2016-10-30,10:19:12,7,Value12
2016-10-30,10:20:51,8,Value8
2016-10-30,10:20:51,8,Value1
2016-10-30,10:21:59,9,Value1
2016-10-30,10:21:59,9,Value6
2016-10-30,10:25:58,10,Value2
2016-10-30,10:25:58,10,Value9
2016-10-30,10:27:21,11,Value1
2016-10-30,10:27:21,11,Value9
2016-10-30,10:27:21,11,Value1
2016-10-30,10:27:21,11,NONE
2016-10-30,10:30:14,12,Value4
2016-10-30,10:30:14,12,Value7
2016-10-30,10:30:14,12,Value13
2016-10-30,10:30:14,12,Value8
2016-10-30,10:30:14,12,Value12
2016-10-30,10:31:24,13,Value14
2016-10-30,10:31:24,13,Value1
2016-10-30,10:31:24,13,Value7
2016-10-30,10:32:46,14,Value1
2016-10-30,10:32:46,14,Value9
2016-10-30,10:32:46,14,Value8
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,Value10
2016-10-30,10:34:36,15,Value2
2016-10-30,10:37:08,16,Value1
2016-10-30,10:37:08,16,Value9
2016-10-30,10:37:08,16,Value7
2016-10-30,10:38:04,17,Value3
2016-10-30,10:41:56,18,Value11
2016-10-30,10:43:08,19,Value11
2016-10-30,10:43:08,19,Value1
2016-10-30,10:45:22,20,Value1
2016-10-30,10:45:22,20,Value9
2016-10-30,10:49:29,21,Value7
2016-10-30,10:49:29,21,Value7
2016-10-30,10:49:29,21,Value9
2016-10-30,10:49:29,21,Value1
2016-10-30,10:52:15,22,Value4
2016-10-30,10:53:49,23,Value2
2016-10-30,10:53:49,23,Value6
2016-10-30,10:54:33,24,Value1
2016-10-30,10:55:22,25,Value2
2016-10-30,10:56:08,26,Fudge
2016-10-30,11:02:19,27,Value2
2016-10-30,11:03:24,28,Value7
2016-10-30,11:03:24,28,Value1
2016-10-30,11:05:30,29,Value1
2016-10-30,11:05:30,29,Value4
2016-10-30,11:05:30,29,NONE
2016-10-30,11:07:19,30,Value1
